sal,grade,patco,major,age,male,vet,handvet,hand,yos,edyrs,promo,exit,supmgr,race,minority,grade4
20995,4,4,,46,0,0,0,0,15,12,0,0,0,2,1,1
32466,9,2,,43,0,0,0,0,20,12,1,0,0,2,1,3
17462,4,3,,53,0,0,0,0,2,13,,1,0,2,1,1
20215,5,3,,41,0,0,0,0,6,13,0,0,0,2,1,2
18695,4,3,,28,0,0,0,0,6,12,1,0,0,2,1,1
51617,12,2,,50,0,0,0,0,29,14,0,0,0,2,1,3
22006,5,4,,53,0,0,0,0,7,14,,1,0,2,1,2
27120,7,3,BUSAD,31,0,0,0,0,7,16,0,0,0,2,1,2
23107,5,3,,38,0,0,0,0,7,13,0,0,0,2,1,2
26991,7,3,COMM,35,0,0,0,0,10,16,0,0,0,2,1,2
42504,11,2,,52,0,0,0,0,29,12,0,0,0,2,1,3
21075,6,3,BUSAD,38,0,0,0,0,2,16,1,0,0,2,1,2
28964,9,3,SOC,44,0,0,0,0,2,18,0,0,0,2,1,3
46202,12,2,BUSAD,45,0,0,0,0,7,18,0,0,0,2,1,3
29602,9,2,,42,0,0,0,0,11,13,0,0,0,2,1,3
26042,6,3,,57,0,0,0,0,28,12,0,0,0,2,1,2
19537,5,4,,27,0,0,0,0,6,13,0,0,0,2,1,2
19714,4,4,,34,0,0,0,0,11,14,0,0,0,2,1,1
27934,6,4,,70,0,0,0,0,30,12,0,0,0,2,1,2
33790,9,2,,55,0,0,0,0,26,14,,1,0,2,1,3
29201,7,3,,44,0,0,0,0,26,10,0,0,0,2,1,2
38551,11,2,,46,0,0,0,0,18,14,0,0,0,2,1,3
26045,7,4,,26,0,0,0,0,10,10,1,0,0,2,1,2
28412,7,4,,54,0,0,0,0,16,12,0,0,0,2,1,2
74054,15,2,COMPU,42,0,0,0,0,24,16,0,0,1,2,1,4
33219,8,3,,46,0,0,0,0,25,12,0,0,0,2,1,2
21395,5,4,,27,0,0,0,0,6,12,0,0,0,2,1,2
30779,7,3,,56,0,0,0,0,30,14,,1,0,2,1,2
27623,7,4,,31,0,0,0,0,11,12,0,0,0,2,1,2
30596,8,3,,36,0,0,0,0,14,12,0,0,0,2,1,2
39719,11,2,,49,0,0,0,0,29,12,0,0,0,2,1,3
,3,4,,19,0,0,0,0,2,12,1,0,0,2,1,1
49861,12,2,LIT,37,0,0,0,0,7,16,0,0,0,2,1,3
22479,6,3,,31,0,0,0,0,6,14,0,0,0,2,1,2
21965,4,3,,55,0,0,0,0,20,12,0,0,0,2,1,1
19714,4,3,,34,0,0,0,0,8,14,0,0,0,2,1,1
24980,7,3,PSYCH,35,0,0,0,0,9,16,0,0,1,2,1,2
44327,12,1,ENGR,30,0,0,0,0,5,16,0,0,0,2,1,3
34662,11,2,COMM,30,0,0,0,0,4,16,0,0,1,2,1,3
22272,5,4,,32,0,0,0,0,7,12,1,0,0,2,1,2
21193,4,4,,57,0,0,0,0,23,13,,1,0,2,1,1
